id_feedback,data_feedback,canal,produto,texto_feedback,sentimento
TR080,2026-03-26,Site,App Finix,Comprei o App Finix e me arrependi. O atendimento demorou muito e eu precisei repetir o problema várias vezes. O pior ponto foi lógica confusa dos menus.,negativo
TR103,2026-04-18,App,Fone Pulse,"Fone Pulse: A configuração inicial foi confusa e o manual não ajudou em quase nada. Além disso, instabilidade no bluetooth comprometeu bastante a experiência. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR054,2026-02-28,Site,Smartwatch Orbit,"Smartwatch Orbit: Gostei bastante da qualidade do material, passou sensação de produto premium. Além disso, pareamento com o celular fez diferença no meu uso. A interface está bem mais organizada agora.",positivo
TR058,2026-03-04,Suporte,App Finix,Comprei o App Finix e gostei bastante. A bateria durou mais do que eu esperava e o uso no dia a dia ficou muito prático. O ponto que mais me chamou atenção foi organização das finanças.,positivo
TR029,2026-02-03,Site,App Finix,"App Finix: A experiência geral foi ótima, compraria novamente sem problemas. Além disso, velocidade para abrir fez diferença no meu uso. Ainda tem espaço para melhorar, mas fiquei satisfeito com o resultado final.",positivo
TR099,2026-04-14,Site,App Finix,Comprei o App Finix e me arrependi. Depois de poucos dias começou a travar e ficou difícil usar no dia a dia. O pior ponto foi travamentos no login.,negativo
TR034,2026-02-08,App,Fone Pulse,"Atendeu exatamente o que eu precisava, fácil de configurar e usar. No caso do Fone Pulse, o destaque foi cancelamento de ruído. A interface está bem mais organizada agora.",positivo
TR065,2026-03-11,Marketplace,Fone Pulse,"O atendimento foi simpático, mas a solução demorou demais. No fim, no caso do Fone Pulse, a experiência final foi ruim e eu não compraria de novo.",negativo
TR117,2026-05-02,Marketplace,App Finix,"App Finix: A configuração inicial foi confusa e o manual não ajudou em quase nada. Além disso, lógica confusa dos menus comprometeu bastante a experiência. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR046,2026-02-20,Marketplace,Smartwatch Orbit,"Smartwatch Orbit: O atendimento foi ágil e conseguiu resolver minha dúvida na primeira tentativa. Além disso, monitoramento de sono fez diferença no meu uso. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR088,2026-04-03,Marketplace,Cafeteira Blend,"Comprei o Cafeteira Blend e me arrependi. Usei pouco e já apresentou defeito, esperava bem mais da marca. O pior ponto foi temperatura do café.",negativo
TR027,2026-02-01,Site,Notebook Nimbus,"Gostei do design, mas o desempenho ainda precisa melhorar. Ainda assim, no caso do Notebook Nimbus, a experiência final foi boa e eu voltaria a usar.",positivo
TR084,2026-03-30,App,Fone Pulse,"No Fone Pulse, o problema principal foi autonomia da bateria. O produto chegou com aparência de usado e a embalagem estava amassada. A ideia é boa, porém a execução deixou muito a desejar.",negativo
TR008,2026-01-13,App,App Finix,Comprei o App Finix e gostei bastante. A embalagem veio bem protegida e o item chegou sem nenhum detalhe. O ponto que mais me chamou atenção foi organização das finanças.,positivo
TR110,2026-04-25,Marketplace,Smartwatch Orbit,"Smartwatch Orbit: O produto chegou com aparência de usado e a embalagem estava amassada. Além disso, sincronização com o app comprometeu bastante a experiência. Esperava algo mais estável pelo valor cobrado.",negativo
TR083,2026-03-29,Site,Aspirador Veloz,"No Aspirador Veloz, o problema principal foi autonomia da bateria. A atualização piorou o desempenho e agora o aplicativo fecha sozinho. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR020,2026-01-25,Marketplace,Aspirador Veloz,Comprei o Aspirador Veloz e gostei bastante. A embalagem veio bem protegida e o item chegou sem nenhum detalhe. O ponto que mais me chamou atenção foi baixo ruído.,positivo
TR060,2026-03-06,Marketplace,Aspirador Veloz,"A embalagem veio bem protegida e o item chegou sem nenhum detalhe. No caso do Aspirador Veloz, o destaque foi mobilidade pela casa. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR052,2026-02-26,App,Cafeteira Blend,"A entrega foi rápida, porém o produto veio com um pequeno defeito. Ainda assim, no caso do Cafeteira Blend, a experiência final foi boa e eu voltaria a usar.",positivo
TR056,2026-03-02,App,Notebook Nimbus,"Comprei o Notebook Nimbus e gostei bastante. O produto é leve, bonito e funciona melhor do que a descrição prometia. O ponto que mais me chamou atenção foi tela confortável.",positivo
TR010,2026-01-15,Suporte,Fone Pulse,Comprei o Fone Pulse e gostei bastante. O app ficou intuitivo e consegui resolver tudo sem precisar falar com suporte. O ponto que mais me chamou atenção foi cancelamento de ruído.,positivo
TR004,2026-01-09,App,Fone Pulse,"Comprei o Fone Pulse e gostei bastante. O produto é leve, bonito e funciona melhor do que a descrição prometia. O ponto que mais me chamou atenção foi conexão bluetooth.",positivo
TR070,2026-03-16,App,Smartwatch Orbit,Comprei o Smartwatch Orbit e me arrependi. O atendimento demorou muito e eu precisei repetir o problema várias vezes. O pior ponto foi sensor de passos.,negativo
TR111,2026-04-26,Site,App Finix,"App Finix: Usei pouco e já apresentou defeito, esperava bem mais da marca. Além disso, lógica confusa dos menus comprometeu bastante a experiência. Esperava algo mais estável pelo valor cobrado.",negativo
TR075,2026-03-21,Suporte,Cafeteira Blend,"Cafeteira Blend: O produto chegou com aparência de usado e a embalagem estava amassada. Além disso, fragilidade da jarra comprometeu bastante a experiência. Esperava algo mais estável pelo valor cobrado.",negativo
TR005,2026-01-10,Marketplace,Fone Pulse,Comprei o Fone Pulse e gostei bastante. A bateria durou mais do que eu esperava e o uso no dia a dia ficou muito prático. O ponto que mais me chamou atenção foi cancelamento de ruído.,positivo
TR032,2026-02-06,Suporte,Smartwatch Orbit,"A entrega foi rápida, porém o produto veio com um pequeno defeito. Ainda assim, no caso do Smartwatch Orbit, a experiência final foi boa e eu voltaria a usar.",positivo
TR026,2026-01-31,App,Cafeteira Blend,"Comprei o Cafeteira Blend e gostei bastante. Excelente custo-benefício, principalmente comparando com marcas maiores. O ponto que mais me chamou atenção foi preparo rápido.",positivo
TR009,2026-01-14,Suporte,Aspirador Veloz,"Aspirador Veloz: O produto é leve, bonito e funciona melhor do que a descrição prometia. Além disso, potência de sucção fez diferença no meu uso. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR015,2026-01-20,Suporte,App Finix,"O atendimento foi simpático, mas a solução demorou demais. Ainda assim, no caso do App Finix, a experiência final foi boa e eu voltaria a usar.",positivo
TR072,2026-03-18,App,Cafeteira Blend,"No Cafeteira Blend, o problema principal foi vazamento de água. Tive dificuldade para conectar e a experiência foi frustrante. Esperava algo mais estável pelo valor cobrado.",negativo
TR116,2026-05-01,App,Notebook Nimbus,"Notebook Nimbus: A configuração inicial foi confusa e o manual não ajudou em quase nada. Além disso, aquecimento excessivo comprometeu bastante a experiência. A ideia é boa, porém a execução deixou muito a desejar.",negativo
TR082,2026-03-28,Site,Smartwatch Orbit,Comprei o Smartwatch Orbit e me arrependi. Tive dificuldade para conectar e a experiência foi frustrante. O pior ponto foi sensor de passos.,negativo
TR105,2026-04-20,App,Cafeteira Blend,"Cafeteira Blend: Depois de poucos dias começou a travar e ficou difícil usar no dia a dia. Além disso, temperatura do café comprometeu bastante a experiência. Até funciona às vezes, mas na prática me deu mais dor de cabeça do que ajuda.",negativo
TR044,2026-02-18,Marketplace,Aspirador Veloz,"O atendimento foi simpático, mas a solução demorou demais. Ainda assim, no caso do Aspirador Veloz, a experiência final foi boa e eu voltaria a usar.",positivo
TR057,2026-03-03,Site,Notebook Nimbus,"Notebook Nimbus: O app ficou intuitivo e consegui resolver tudo sem precisar falar com suporte. Além disso, tela confortável fez diferença no meu uso. Achei simples de usar e isso fez diferença pra mim.",positivo
TR101,2026-04-16,App,Notebook Nimbus,"Comprei o Notebook Nimbus e me arrependi. Usei pouco e já apresentou defeito, esperava bem mais da marca. O pior ponto foi lentidão após atualização.",negativo
TR061,2026-03-07,Site,Smartwatch Orbit,"No Smartwatch Orbit, o problema principal foi duração da bateria. A qualidade do material decepcionou, parece frágil e barato. O suporte foi educado, mas o problema continuou.",negativo
TR102,2026-04-17,App,Fone Pulse,"No Fone Pulse, o problema principal foi instabilidade no bluetooth. O prazo não foi cumprido e não recebi nenhuma informação clara. Até funciona às vezes, mas na prática me deu mais dor de cabeça do que ajuda.",negativo
TR074,2026-03-20,Marketplace,Notebook Nimbus,"O atendimento foi simpático, mas a solução demorou demais. No fim, no caso do Notebook Nimbus, a experiência final foi ruim e eu não compraria de novo.",negativo
TR087,2026-04-02,Suporte,Aspirador Veloz,Comprei o Aspirador Veloz e me arrependi. Não entregou o que prometia e achei o preço alto pelo que oferece. O pior ponto foi encaixe dos acessórios.,negativo
TR014,2026-01-19,Site,Notebook Nimbus,Comprei o Notebook Nimbus e gostei bastante. A bateria durou mais do que eu esperava e o uso no dia a dia ficou muito prático. O ponto que mais me chamou atenção foi desempenho no trabalho.,positivo
TR063,2026-03-09,Suporte,Smartwatch Orbit,Comprei o Smartwatch Orbit e me arrependi. A configuração inicial foi confusa e o manual não ajudou em quase nada. O pior ponto foi duração da bateria.,negativo
TR085,2026-03-31,Marketplace,Aspirador Veloz,"A entrega foi rápida, porém o produto veio com um pequeno defeito. No fim, no caso do Aspirador Veloz, a experiência final foi ruim e eu não compraria de novo.",negativo
TR092,2026-04-07,Site,App Finix,Comprei o App Finix e me arrependi. O produto chegou com aparência de usado e a embalagem estava amassada. O pior ponto foi falhas na notificação.,negativo
TR071,2026-03-17,App,Smartwatch Orbit,"Comprei o Smartwatch Orbit e me arrependi. A qualidade do material decepcionou, parece frágil e barato. O pior ponto foi duração da bateria.",negativo
TR007,2026-01-12,Suporte,Smartwatch Orbit,"Smartwatch Orbit: A experiência geral foi ótima, compraria novamente sem problemas. Além disso, pareamento com o celular fez diferença no meu uso. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR006,2026-01-11,Site,Notebook Nimbus,"Comprei o Notebook Nimbus e gostei bastante. Atendeu exatamente o que eu precisava, fácil de configurar e usar. O ponto que mais me chamou atenção foi desempenho no trabalho.",positivo
TR100,2026-04-15,Site,Notebook Nimbus,"Comprei o Notebook Nimbus e me arrependi. A qualidade do material decepcionou, parece frágil e barato. O pior ponto foi duração da bateria.",negativo
TR017,2026-01-22,Site,Fone Pulse,Comprei o Fone Pulse e gostei bastante. O atendimento foi ágil e conseguiu resolver minha dúvida na primeira tentativa. O ponto que mais me chamou atenção foi qualidade do microfone.,positivo
TR108,2026-04-23,App,Aspirador Veloz,"Aspirador Veloz: Tive dificuldade para conectar e a experiência foi frustrante. Além disso, dificuldade em tapetes comprometeu bastante a experiência. Esperava algo mais estável pelo valor cobrado.",negativo
TR002,2026-01-07,Site,Fone Pulse,"Gostei do design, mas o desempenho ainda precisa melhorar. Ainda assim, no caso do Fone Pulse, a experiência final foi boa e eu voltaria a usar.",positivo
TR039,2026-02-13,Site,Smartwatch Orbit,Comprei o Smartwatch Orbit e gostei bastante. O atendimento foi ágil e conseguiu resolver minha dúvida na primeira tentativa. O ponto que mais me chamou atenção foi pareamento com o celular.,positivo
TR023,2026-01-28,Marketplace,Fone Pulse,"O atendimento foi simpático, mas a solução demorou demais. Ainda assim, no caso do Fone Pulse, a experiência final foi boa e eu voltaria a usar.",positivo
TR047,2026-02-21,Site,Smartwatch Orbit,"Gostei do design, mas o desempenho ainda precisa melhorar. Ainda assim, no caso do Smartwatch Orbit, a experiência final foi boa e eu voltaria a usar.",positivo
TR115,2026-04-30,Suporte,Fone Pulse,"Fone Pulse: A qualidade do material decepcionou, parece frágil e barato. Além disso, autonomia da bateria comprometeu bastante a experiência. O suporte foi educado, mas o problema continuou.",negativo
TR038,2026-02-12,App,Aspirador Veloz,"O atendimento foi simpático, mas a solução demorou demais. Ainda assim, no caso do Aspirador Veloz, a experiência final foi boa e eu voltaria a usar.",positivo
TR104,2026-04-19,Site,Smartwatch Orbit,"Smartwatch Orbit: O atendimento demorou muito e eu precisei repetir o problema várias vezes. Além disso, sincronização com o app comprometeu bastante a experiência. A ideia é boa, porém a execução deixou muito a desejar.",negativo
TR013,2026-01-18,Site,Aspirador Veloz,Comprei o Aspirador Veloz e gostei bastante. O app ficou intuitivo e consegui resolver tudo sem precisar falar com suporte. O ponto que mais me chamou atenção foi potência de sucção.,positivo
TR037,2026-02-11,Marketplace,Aspirador Veloz,"Aspirador Veloz: A embalagem veio bem protegida e o item chegou sem nenhum detalhe. Além disso, baixo ruído fez diferença no meu uso. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR077,2026-03-23,Marketplace,Fone Pulse,"Fone Pulse: A atualização piorou o desempenho e agora o aplicativo fecha sozinho. Além disso, isolamento em ambientes externos comprometeu bastante a experiência. A ideia é boa, porém a execução deixou muito a desejar.",negativo
TR068,2026-03-14,App,Fone Pulse,"No Fone Pulse, o problema principal foi autonomia da bateria. A atualização piorou o desempenho e agora o aplicativo fecha sozinho. Esperava algo mais estável pelo valor cobrado.",negativo
TR076,2026-03-22,Marketplace,Notebook Nimbus,"No Notebook Nimbus, o problema principal foi duração da bateria. Usei pouco e já apresentou defeito, esperava bem mais da marca. O suporte foi educado, mas o problema continuou.",negativo
TR113,2026-04-28,App,Fone Pulse,"Fone Pulse: Não entregou o que prometia e achei o preço alto pelo que oferece. Além disso, instabilidade no bluetooth comprometeu bastante a experiência. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR036,2026-02-10,Site,App Finix,"A embalagem veio bem protegida e o item chegou sem nenhum detalhe. No caso do App Finix, o destaque foi organização das finanças. Mesmo com um detalhe pequeno, no geral a experiência foi muito boa.",positivo
TR062,2026-03-08,Site,App Finix,"O atendimento foi simpático, mas a solução demorou demais. No fim, no caso do App Finix, a experiência final foi ruim e eu não compraria de novo.",negativo
TR095,2026-04-10,Suporte,Notebook Nimbus,"Notebook Nimbus: A atualização piorou o desempenho e agora o aplicativo fecha sozinho. Além disso, lentidão após atualização comprometeu bastante a experiência. O suporte foi educado, mas o problema continuou.",negativo
TR028,2026-02-02,Marketplace,Smartwatch Orbit,"Smartwatch Orbit: O atendimento foi ágil e conseguiu resolver minha dúvida na primeira tentativa. Além disso, monitoramento de sono fez diferença no meu uso. Ainda tem espaço para melhorar, mas fiquei satisfeito com o resultado final.",positivo
TR112,2026-04-27,Marketplace,Cafeteira Blend,"Comprei o Cafeteira Blend e me arrependi. Usei pouco e já apresentou defeito, esperava bem mais da marca. O pior ponto foi fragilidade da jarra.",negativo
TR024,2026-01-29,Site,Cafeteira Blend,"Cafeteira Blend: Entrega rápida e produto funcionando perfeitamente desde o primeiro uso. Além disso, sabor do café fez diferença no meu uso. Achei simples de usar e isso fez diferença pra mim.",positivo
TR089,2026-04-04,Suporte,Fone Pulse,Comprei o Fone Pulse e me arrependi. O áudio fica falhando com frequência e isso atrapalha bastante. O pior ponto foi autonomia da bateria.,negativo
TR098,2026-04-13,Marketplace,Smartwatch Orbit,"Smartwatch Orbit: O prazo não foi cumprido e não recebi nenhuma informação clara. Além disso, sensor de passos comprometeu bastante a experiência. Até funciona às vezes, mas na prática me deu mais dor de cabeça do que ajuda.",negativo
TR069,2026-03-15,Suporte,Notebook Nimbus,Comprei o Notebook Nimbus e me arrependi. A atualização piorou o desempenho e agora o aplicativo fecha sozinho. O pior ponto foi lentidão após atualização.,negativo
TR096,2026-04-11,Marketplace,Fone Pulse,Comprei o Fone Pulse e me arrependi. A atualização piorou o desempenho e agora o aplicativo fecha sozinho. O pior ponto foi autonomia da bateria.,negativo
TR114,2026-04-29,Marketplace,Cafeteira Blend,Comprei o Cafeteira Blend e me arrependi. Não entregou o que prometia e achei o preço alto pelo que oferece. O pior ponto foi temperatura do café.,negativo
TR041,2026-02-15,App,Smartwatch Orbit,Comprei o Smartwatch Orbit e gostei bastante. O app ficou intuitivo e consegui resolver tudo sem precisar falar com suporte. O ponto que mais me chamou atenção foi monitoramento de sono.,positivo
TR025,2026-01-30,Site,Cafeteira Blend,"A entrega foi rápida, porém o produto veio com um pequeno defeito. Ainda assim, no caso do Cafeteira Blend, a experiência final foi boa e eu voltaria a usar.",positivo
TR093,2026-04-08,Marketplace,Cafeteira Blend,"Cafeteira Blend: A configuração inicial foi confusa e o manual não ajudou em quase nada. Além disso, temperatura do café comprometeu bastante a experiência. No papel parecia ótimo, mas no uso real decepcionou.",negativo
TR016,2026-01-21,Marketplace,Fone Pulse,Comprei o Fone Pulse e gostei bastante. O som ficou limpo e o cancelamento de ruído surpreendeu positivamente. O ponto que mais me chamou atenção foi qualidade do microfone.,positivo
TR030,2026-02-04,Site,Aspirador Veloz,Comprei o Aspirador Veloz e gostei bastante. A embalagem veio bem protegida e o item chegou sem nenhum detalhe. O ponto que mais me chamou atenção foi mobilidade pela casa.,positivo
TR033,2026-02-07,Site,Cafeteira Blend,"Gostei do design, mas o desempenho ainda precisa melhorar. Ainda assim, no caso do Cafeteira Blend, a experiência final foi boa e eu voltaria a usar.",positivo
TR040,2026-02-14,Suporte,Fone Pulse,"Entrega rápida e produto funcionando perfeitamente desde o primeiro uso. No caso do Fone Pulse, o destaque foi qualidade do microfone. A interface está bem mais organizada agora.",positivo
TR035,2026-02-09,Marketplace,Notebook Nimbus,"Notebook Nimbus: Gostei bastante da qualidade do material, passou sensação de produto premium. Além disso, tela confortável fez diferença no meu uso. A interface está bem mais organizada agora.",positivo
TR059,2026-03-05,App,Smartwatch Orbit,"Gostei bastante da qualidade do material, passou sensação de produto premium. No caso do Smartwatch Orbit, o destaque foi pulseira confortável. Achei simples de usar e isso fez diferença pra mim.",positivo
TR090,2026-04-05,App,App Finix,Comprei o App Finix e me arrependi. A configuração inicial foi confusa e o manual não ajudou em quase nada. O pior ponto foi falhas na notificação.,negativo
